track_artist,hometown,,
Kygo,"Bergen, Norway",,
The Black Eyed Peas,"California, USA",,
MEDUZA,"Milan, Italy",,
Ava Max,"Wisconsin, USA",,
Billie Eilish,"California, USA",,
Sam Smith,"London, USA",,
Regard,"Ferizaj, Kosovo ",,
KAROL G,"Antioquia, Columbia",,
Billie Eilish,"California, USA",,
Justin Bieber,"Ontario, Canada",,
Daddy Yankee,"Puerto Rico, USA",,
Reik,"Baja California, Mexico",,
Anuel AA,"Puerto Rico, USA",,
Tainy,"Puerto Rico, USA",,
J Balvin,"Antioquia, Columbia",,
Shawn Mendes,"Ontario, Canada",,
Maroon 5,"California, USA",,
The Weeknd,"Ontario, Canada",,
Lewis Capaldi,"West Lothian, Scotland",,
Juice WRLD,"Illinois, USA",,
J Balvin,"Antioquia, Columbia",,
Niall Horan,"County Westmeath, Ireland",,
The Weeknd,"Ontario, Canada",,
Daddy Yankee,"Puerto Rico, USA",,
Selena Gomez,"Texas, USA",,
Lewis Capaldi,"West Lothian, Scotland",,
Harry Styles,"Holmes Chapel, England",,
Ant Saunders,"New Jersey, USA",,
Camila Cabello,"Florida, USA",,
Dua Lipa,"London, UK",,
Travis Scott,"Texas, USA",,
blackbear,"Florida, USA",,
Dan + Shay,"Tennessee, USA",,
Sam Smith,"London, USA",,
SHAED,"Maryland, USA",,
Ed Sheeran,"West Yorkshire, England",,
Y2K,"Arizona, USA",,
Post Malone,"Texas, USA",,
Lizzo,"Texas, USA",,
Lil Tecca,"New York, USA",,
Halsey,"New Jersey, USA",,42
Bad Bunny,"Puerto Rico, USA",,43
Post Malone,"Texas, USA",,44
Rauw Alejandro,"Puerto Rico, USA",,45
DJ Snake,"Paris, France ",,46
Sech,"Panama City, Panama",,47
Lil Nas X,"Georgia, USA",,48
ROSALÍA,"Catalonia, Spain",,49
Noah Cyrus,"Tennessee, USA",,50
Marshmello,"Pennsylvania, USA",,51
Jonas Brothers,"New Jersey, USA",,52
Camila Cabello,"Florida, USA",,53
JP Saxe,"Ontario, Canada",,54
Khalid,"Georgia, USA",,55
Harry Styles,"Holmes Chapel, England",,56
Ariana Grande,"Florida, USA",,57
Ariana Grande,"Florida, USA",,58
Halsey,"New Jersey, USA",,59
Ellie Goulding,"Herefordshire, England",,60
Post Malone,"Texas, USA",,61
Travis Scott,"Texas, USA",,62
Trevor Daniel,"Texas, USA",,63
Tyga,"California, USA",,64
Billie Eilish,"California, USA",,65
Future,"Georgia, USA",,66
Roddy Ricch,"California, USA",,67
Lil Uzi Vert,"Pennsylvania, USA",,68
DaBaby,"North Carolina, USA",,69
YNW Melly,"Florida, USA",,70
JACKBOYS,"Tennessee, USA",,71
Lil Baby,"Georgia, USA",,72
DaBaby,"North Carolina, USA",,73
Don Toliver,"Texas, USA",,74
Travis Scott,"Texas, USA",,75
Mustard,"California, USA",,76
Drake,"Ontario, Canada",,77
DaBaby,"North Carolina, USA",,78
BROCKHAMPTON,"Texas, USA",,79
Post Malone,"Texas, USA",,80
XXXTENTACION,"Florida, USA",,81
Juice WRLD,"Illinois, USA",,82
Lunay,"Puerto Rico, USA",,83
ROSALÍA,"Catalonia, Spain",,84
Dalex,"Pennsylvania, USA",,85
Dalex,"Pennsylvania, USA",,86
Camilo,"Antioquia, Columbia",,87
Doja Cat,"California, USA",,88
Post Malone,"Texas, USA",,89
Lady Gaga,"New York, USA",,90
Billie Eilish,"California, USA",,91
Mariah Carey,"New York, USA",,